t90	t90_error
4.352	 0.832
4.352	 0.810
4.416	 1.319
4.416	 0.363
4.477	 0.362
4.480	 0.345
4.480	 0.543
4.480	 1.431
4.480	 1.086
4.544	 0.529
4.608	 2.996
4.608	 3.208
4.608	 2.360
4.608	 1.557
4.608	 0.724
4.608	 1.305
4.608	 3.083
4.608	 0.453
4.608	 2.064
4.608	 2.360
4.608	 0.724
4.669	 0.602
4.672	 0.181
4.736	 0.453
4.800	 0.771
4.800	 0.923
4.861	 1.280
4.861	 0.809
4.864	 1.950
4.864	 2.757
4.864	 1.305
4.864	 1.810
4.864	 0.810
4.864	 3.482
4.864	 0.923
4.864	 0.923
4.925	 0.889
4.925	 0.602
4.992	 0.730
5.056	 2.127
5.120	 2.172
5.120	 0.810
5.120	 0.453
5.120	 0.923
5.120	 0.572
5.120	 1.639
5.120	 3.083
5.120	 3.093
5.120	 0.923
5.120	 1.717
5.120	 1.379
5.120	 1.056
5.120	 0.362
5.184	 0.951
5.184	 4.362
5.312	 0.389
5.376	 2.360
5.376	 1.639
5.376	 3.727
5.376	 0.923
5.376	 2.202
5.376	 0.572
5.376	 1.498
5.376	 1.493
5.376	 1.286
5.376	 3.278
5.376	 0.453
5.376	 0.923
5.376	 3.083
5.376	 1.639
5.376	 1.379
5.376	 0.572
5.376	 2.187
5.437	 0.407
5.437	 0.602
5.440	 0.453
5.440	 0.604
5.504	 0.842
5.568	 0.143
5.568	 0.362
5.632	 1.999
5.632	 1.717
5.632	 0.810
5.632	 2.064
5.632	 0.916
5.632	 0.724
5.632	 1.145
5.632	 2.064
5.632	 0.181
5.632	 0.362
5.632	 0.362
5.693	 0.362
5.760	 1.356
5.760	 1.778
5.760	 0.779
5.824	 0.951
5.824	 0.091
5.888	 2.589
5.888	 1.639
5.888	 2.862
5.888	 1.379
5.888	 1.379
5.888	 0.923
5.888	 2.429
5.888	 1.180
5.888	 2.673
5.888	 2.919
5.888	 0.264
5.888	 0.724
5.949	 0.572
5.950	 0.831
5.952	 1.507
5.952	 0.143
6.016	 0.371
6.080	 0.689
6.080	 0.286
6.080	 0.464
6.141	 0.572
6.141	 0.809
6.144	 2.187
6.144	 5.081
6.144	 2.111
6.144	 8.136
6.144	 0.362
6.144	 0.572
6.174	 1.298
6.400	 3.482
6.400	 1.639
6.400	 1.145
6.400	 3.874
6.400	 3.114
6.400	 1.056
6.400	 2.429
6.400	 0.810
6.400	 1.846
6.400	 0.810
6.400	 0.923
6.400	 0.923
6.400	 0.362
6.400	 0.572
6.400	 1.086
6.400	 1.864
6.400	 1.379
6.400	 0.974
6.429	 0.586
6.528	 1.857
6.592	 0.345
6.592	 0.923
6.592	 0.771
6.656	 3.338
6.656	 0.923
6.656	 3.665
6.656	 0.923
6.656	 0.860
6.656	 1.619
6.656	 0.923
6.656	 3.435
6.656	 0.923
6.720	 1.619
6.784	 1.000
6.784	 1.282
6.784	 0.202
6.909	 0.923
6.912	 2.429
6.912	 1.280
6.912	 1.810
6.912	 2.919
6.912	 1.493
6.912	 0.724
6.912	 0.923
6.912	 0.362
6.912	 0.572
6.976	 0.572
6.976	 0.689
7.040	 3.666
7.104	 1.145
7.104	 0.572
7.104	 1.619
